Name,Summary,Tagged Interests
International Society of Explosives Engineers,"Promoting the safety, security, and controlled use of explosives in all industries.",International
International Student Council,To provide a voice to the international community throughout Penn State's campus. ,"International, Community"
International Tuba Euphonium Association,The Penn State University chapter of the International Tuba and Euphonium Association strives to create an educational experience through attending conferences and providing formal and informal performance settings to spre...,International
Investment Association at Penn State,"Educates the Penn State student body in the fundamental principles and techniques of financial analysis; gives all members a highly interactive, hands on experience in the field of creating and managing an investment portfolio.",Finance
Iota Iota Iota (Triota)-Women's Studies Honors Society,"We are Penn State's feminist club and we encourage and support scholarship, excellence, and activism in our Penn State community. We seek to improve ourselves and the community through feminist education, service, and support.","Community, Service, Advocacy, Women’s Empowerment, General Student Organizations"
Iranian Student Association,"Provides an interactive environment for Iranian students at Penn State, and holds social and cultural programs in order to educate the University community of Iranian traditions.","Social Club, Community, Heritage, Sustainability"
Island Fever,"Island Fever is a Caribbean dance team with a mission to showcase, embrace, and celebrate the vast diversity of Caribbean culture through dance. Regardless of any dancers ethnic background, Island Fever welcomes all to embody this mission. ","Diversity, Dance"
IST Career Development Organization,"Through networking, skill-building, and community engagement, ICDO bridges the gap between academic learning and practical career development.","Leadership, Community, Social Club"
It's On Us at Penn State,It's On Us is a student lead organization dedicated to bringing awareness to preventing sexual violence and supporting survivors at Penn State. ,General Student Organizations
Italian Student Society,To provide an interactive environment at Penn State University through social and cultural programs in order to educate the University Community on Italian Traditions.,"Community, Sustainability, Social Club, Heritage, European Student Life"
JaDhoom,To fuse together South Asian and American culture through the art of dance.,"Dance, Asian Student Life, Art"
Jam Club,Jam is a club where members of the Penn State Student Body can organize and play music.,"Music, General Student Organizations"
Japanese Student Association,The Japanese Student Association (JSA) is a student organization dedicated to promoting cultural awareness and social interaction among the Japanese and non-Japanese members of the Pennsylvania State University student community.,"Community, Asian Student Life, Social Club, Heritage, General Student Organizations"
Jared Box Project Club,"The goal of the Jared Box Project is to lift the spirits of children in the hospital. Boxes filled with the ""gift of play"" are given to young patients in emergency rooms, hospital rooms, surgical centers, and clinics.",General Student Organizations
Jazz Club,"Brings together those who are interested in jazz and promotes this musical art form for the benefit of the University community and the general public. Contact Tyson Ronel for meeting times and other information. 
","Community, Art, Special Interest, Music, General Student Organizations"
Jazz Collective,Bring together those who are interested in learning more about jazz.,Special Interest
JGrads,"JGrads exists to create an active and enriching environment for Jewish graduate students at Penn State through planning events, speakers, activities, and meals tailored for Jewish graduate students. ","Jewish Organizations, Sustainability"
Justice Association,"Interested in the field of criminology, psychology, legal studies or a related field? Pursuing a career with law enforcement? Inspiring to be a lawyer? Justice Association hosts criminology experts to speak on their career paths and job opportunities.","Human Rights, Special Interest, Law & Pre-Law, Psychology"
Justice Impacted Student Organization,JISO will create a space for students that have been directly involved with the carceral system or those who have loved ones with carceral history. Giving them a voice and representation university wide. ,"General Student Organizations, Philanthropy, Human Rights"
K-Pop Music and Dance,The mission of K-Pop Music and Dance (KPMD) is to provide an opportunity for Penn State students to share and explore their interests in K-Pop through dance and music discussions.,"Music, Dance, Special Interest"
Kaizen,"Kaizen is a philanthropic organization that sets out to better the community by supporting the Penn State IFC/Panhellenic Dance Marathon by raising awareness, funds, and resources and promoting social events and fellowship among members.","Dance, Social Club, Community"
Kaizen Self-Actualization Society,KSAS will mentor students in a variety of skills that are not necessarily taught in classrooms to prepare them better for life after college. It is focused on the personal and professional development of all members to form a well-rounded community.,"Leadership, Community"
Kalliope,"To further the ideals of free and open literary expression by establishing a writing community, as well as provide a literary outlet through public readings, lectures, and the publication of an annual literary magazine.","Writing, Journalism, Community, Books"
Kappa Alpha Pi Pre-Law and Government Fraternity,"The best resource for students interested in attending law school after graduation! We host LSAT Prep, guest speakers, law school tours, and professional development workshops!","Leadership, Special Interest, Law & Pre-Law"
Kappa Alpha Theta,Leading every member to personal excellence through lifelong sisterhood.,General Student Organizations
Kappa Delta,"Kappa Delta Sorority is a national organization for women committed to: Inspiring our members to reach their full potential; Preparing our members for community service, active leadership and responsible citizenship; Creating opportunities for lifetime...","Women’s Empowerment, Leadership, Community, Service"
Kappa Kappa Gamma,"Kappa is an organization of women, which seeks for every member throughout her life bonds of friendship, mutual support, opportunities for self-growth, respect for intellectual development, and an understanding of positive ethical principles. ","Women’s Empowerment, Leadership, Social Club"
Karate Club at Penn State,"The Karate Club practices Isshin-ryu karate for practical applications, self-defense, and self development. ","Leadership, General Student Organizations, Martial Arts"
Kaxom,An all-inclusive organization. Promoting family-like relationships and making a difference throughout philanthropy in the community and nationwide. ,"Community, Philanthropy"
Kazakh Student Association,Kazakh Students Association is a university-wide student organization that aims to represent Penn State students from Kazakhstan.,General Student Organizations
Kinesiology Club,"An organization that provides students a plethora of extracurricular opportunities including: networking seminars, educational seminars, and social events.","General Student Organizations, Social Club"
Kinesiology Graduate Student Association,KGSO is a student organization to facilitate professional development amongst graduate students in the Kinesiology department.,"Leadership, General Student Organizations, Art"
Korean Graduate Student Association,The mission of the Korean Graduate Student Association (KGSA) is dedicated to promote a good relationship with Korean graduate students at Penn State and to provide the spirit of Korea to the Penn State Community.,"Community, Asian Student Life"
Korean International Organization,"As a central club in Korean society, KIO is an organization aimed at helping individuals prepare for their careers by providing social, cultural, professional, and networking opportunities for both Korean and Korean American students.
","International, Service, Asian Student Life, Heritage, Social Club, General Student Organizations"
Korean Learning Club,Our organization offers practical and useful atmosphere for students who are seeking an opportunity to learn and practice Korean language.,"General Student Organizations, Asian Student Life"
Korean Student Association,"The purpose of the Pennsylvania State University Korean Student Association (PSU KSA) is to promote Korean culture, connect students with one another, and enhance members’ academic, professional and social lives.","Social Club, Asian Student Life"
Korean Students for Christ,Develops and enhances the students' personal relationship with Jesus Christ and allows them to believe Him as their Lord and Savior through numerous activities.,Asian Student Life
Kuwaiti Students Association,"The purpose of the Kuwaiti Student Association is to provide a platform through which the Kuwaiti students can meet, socialize, and share their identity with the Penn State community.","Community, Social Club"
La Vie,Produces an annual publication chronicling the year in the life of the University.,General Student Organizations
Lambda Alpha,National Anthropology Honor Society acknowledging and honoring academic achievement to students engaged in the study of anthropology and its subfields. Also a general club open to any and all interested!,"General Student Organizations, Special Interest"
Lambda Chi Alpha,Fraternity ,General Student Organizations
"Lambda Sigma Upsilon Latino Fraternity, Inc.","Our beloved organization was founded on April 5th, 1979 at Rutgers University on goals, values and principles not very common among fraternities of the time. We strive for academic excellence, cultural awareness, role modeling and brotherhood.","Latino, Heritage"
"Lambda Theta Alpha Latin Sorority, Inc.","The purpose of Lambda Theta Alpha shall be to provide a sisterhood based on unity, love, and respect in an effort to foster the development of strong leaders who will then provide and practice political, social and cultural activities.","Leadership, Social Club, Heritage"
Landscape Architecture Student Society,"Fosters and maintains high standards, makes full preparation toward professional qualifications, and acts as a liaison among the students, faculty, and administration.",General Student Organizations
Language and Linguistics Club,"The mission of the Language and Linguistics Club is to promote a greater understanding and appreciation for the study of language and language science at Penn State and in the State College area. 
","Science, General Student Organizations"
Latin American Graduate Student Association,To provide cultural exchanges and promote understanding and knowledge about Latin America and the Caribbean. It shall also provide a forum in the remainder of this document.,Heritage
Latino Caucus,"Latino Caucus strives to positively represent the Latino community through academic achievement, cultural awareness, and political advocacy. As the umbrella organization of all Latino organizations on campus, we work towar...","Latino, Community, Heritage, Advocacy"
Latino Pre-Health Student Association,"LAPSA is dedicated to supporting, guiding, and empowering Latino students aspiring to pursue careers in the healthcare field. We provide academic guidance and professional development opportunities while promoting cultural awareness through medicine.","Dance, Leadership, Medicine & Health, Latino, Heritage"
Latter-Day Saint Student Association,"Encourage and support members in achieving their academic goals and maintaining a balanced life while on campus, through encouraging members to participate in activities and services on campus and in the community.","Community, Service, Art"
Leadership and Service,Step in to a leadership role on campus or find ways to serve the surrounding community. Engage with a wide variety of opportunities and evolve your understanding of who you are and what you are capable of doing.,"Leadership, Community, Service"
"Learning, Design, and Technology Graduate Student Association","The purpose of the LDT GSA is to foster a community and create opportunities for graduate students in various stages of the Learning, Design, and Technology program to connect with and support each other. ","Theater, Technology, Community, Fashion"
Legion of Blue,To support Penn State Men's and Women's Basketball and provide an exciting and competitive environment while also promoting the game of basketball and the program around campus.,"Women’s Empowerment, Basketball, Sustainability"
Letters of Love at Penn State,"The PSU chapter of LOL global seeks to brighten the day of terminally ill children by writing them letters as well as holding toy/stuffed animal drives. We want these kids to know that they have an entire 40,000+ person student body in their corner.","Writing, International"
Leveraged Lion Capital,“Empowering Penn Staters to reach the highest levels of finance”,Finance
Liberal Arts Ambassadors,"The Liberal Arts Ambassadors are students of the College of the Liberal Arts that represent the College to prospective, accepted, and current students as well as alumni and friends of the University.","Social Club, Art, Political Organizations"
Liberal Arts Collective,A group of interdisciplinary scholars dedicated to fostering innovative work in the humanities. ,"Art, Political Organizations"
Liberal Arts Undergraduate Council,"Our goal is to foster community within the College of Liberal Arts! We host events, run initiatives that keep students informed, and host town halls that allow students to voice concerns. 

Join our community as a Council member to get involved!","Community, Art, Political Organizations"
LifeLink at Penn State Mentor Society,"To provide an array for mentors to gather to plan activities and special events for mentors to gather to plan activities and special events for LifeLink PSU students, as well as raise disability awareness to the public.",General Student Organizations
Lift the Mask Club,Lift the Mask Club aims to reduce the stigma of mental health illnesses. It also aims to increase awareness and to seek solutions to many problems related to mental health in our country through meetings/other events that talk openly about mental health.,"General Student Organizations, Psychology"
Light Fellowship,"The Light Fellowship is an organization whose purpose is to gather a community of students for worship, service, small groups, and fellowship on campus. We strive to emulate the Light of Christ and establish an authentic community of believers. ","Community, Service"
LimitlesS Benefitting THON,LimitlesS is dedicated to benefitting THON,General Student Organizations
Line Dance PSU,"This club is a noncompetitive dance group that meets bi-weekly, no experience is required. We will be teaching the main line dance steps along with a song each lesson.","General Student Organizations, Dance"
"Lion 90.7fm (WKPS), The ","The LION 90.7fm, ""The Soundtrack to Penn State"", provides the student body and the community with student-run and operated music, sports, and talk shows, and prepares its members with training in the field of broadcasting.","Music, Community, Running, Broadcasting"
Lion Ambassadors,"To promote the Pennsylvania State University, as well as, its interests and goals, among future, current and past students and friends of the university. To instill within students the idea that their involvement with Penn State is a lifelong commitment.","Special Interest, Social Club"
Lion Caucus,The purpose of the Lion Caucus shall be to promote the Pennsylvania State University and to educate government officials on the positive influences the Pennsylvania State University has on students and residents of the Commonwealth. ,General Student Organizations
Lion Pride Affinity at World Campus,Serves as a collaborative initiative among staff and students to bridge the gap between LGBTQ+ resources while fostering community and knowledge among all World Campus participants. ,"Community, Art, LGBTQ+"
Lion Pride Caucus,"The Lion Pride Caucus is the umbrella organization for gender and sexually diverse students at Penn State University Park. We aim to assist in the continual construction of an increasingly open, inclusive community at Penn State. ","Community, LGBTQ+"
Lion's Pantry,The purpose of The Lion’s Pantry is to help provide nutritional sustenance to Penn State students facing food or financial insecurity. ,Food
Lions for Christ,a.	The purpose of Lions for Christ is to provide an opportunity for Christians to gather in an informal setting to study God’s word and to build each other up spiritually.  These objectives will be obtained through Bible r...,"Religious, Christian Organizations"
Lions for Israel,Lions for Israel works to collaborate with student organizations and leaders to educate and advocate concerning Israeli matters. ,General Student Organizations
Lions for Recovery,The purpose of the Lions for Recovery (LFR) is to provide events and outreach focused on living a drug and alcohol-free life for those in recovery from substance-use disorders and those who are willing to support others in recovery.,General Student Organizations
Lives Changed By Christ at Penn State,"To gather together weekly to worship, learn, and form a sense of community.",Community
Living Music,"Living Music is dedicated to the performance, promotion, and discussion of new music at Penn State. ",Music
Living Spring Campus Fellowship,"The Living Spring Campus Fellowship is affiliated with Redeemed Christian Church Of God, Living Spring Community Church, State College , it is local to the University Park Campus.","Community, Christian Organizations"
Love Your Guts Club,"This organization works to increase awareness for those living with Crohn's disease, ulcerative colitis, and other irritable bowel diseases. In this club, we educate the community about IBD and fundraise money for the research and advocacy.","General Student Organizations, Community, Advocacy"
"Loving Our Curly, Kinky, and Straight Hair","The mission of Loving Our Curly, Kinky, and Straight Hair, or L.O.C.K.S. is to celebrate the essence of women's natural beauty through education, empowerment, and embracing the differences between each individual's hair jo...",Women’s Empowerment
Lumber Lions,"Provides members with the opportunity to interact with fellow students, faculty, and professionals from other Universities throughout the Eastern United States.  Members will become a part of PA's environmental history by ...","Art, Sustainability"
Lutheran Student Community,"Penn State Lutheran Student Community is committed to: 
Welcoming all the name of Jesus, 
Embracing Personal Growth and understanding, 
Exploring the connections between God’s Word and the world, 
Preparing to follow Jesus’ example with our lives.",Community
Luxurious Lionesses,"We are the 1st Black Majorette Dance Team, established on April 18th, 2023 at The Pennsylvania State University.","Black Student Life, Dance"
Lyrical Line Dance Company,To wholly bring the lyrical style of dance to Penn State University and ensure its members the opportunity to express their love of dance ad choreography through their emotions and creativity.,"Journalism, Dance, Fashion"
MACC Program Student Association,"The MAcc Program Student Association (MPSA) strives to enhance the experience of the Masters of Accounting Program at the Smeal College of Business through professional networking opportunities, community service, and prov...","Business, Community, Service, Social Club"
Machine Learning at Penn State,"The mission of ML@PSU is to advance machine learning (ML) and deep learning at Penn State by serving as a hub for collaborative learning, cutting-edge research, and personal development.",Leadership
Mack Madness,"Mack Madness Benefitting THON is an organization that was started in 2021 in memory of Four Diamonds child, McKenzie Schneider.  We are still a small org, but very excited to continue growing and making an impact in the lives of Four Diamond Families. ","Water Sports, Art"
Macrobes For Microbes: Penn State Club for the Microbiome Sciences,"Macrobes For Microbes is an organization for graduate and undergraduate students interested in microbiome research, education, and career development","Science, Leadership, General Student Organizations, Special Interest"
Magic: the Gathering Club at Penn State,"1.	The purpose of the PSU MTG Club is to provide a friendly environment for those wishing to participate in Magic: The Gathering and related activities.
2. Provide a thoughtful space for those wishing to play Mtg","General Student Organizations, Art, Sustainability"
Makerspace Club at Penn State,"The Penn State Makerspace Club is a club for anyone who wants to learn the art of making, which can range from arts and crafts style projects to using complex machinery to invent new things.","Fashion, General Student Organizations, DIY, Art"
Malaysian Students Club,"To promote the rich culture of Malaysia and foster cultural exchange, friendship, and mutual understanding among our members, the Penn State community, and the wider public. We aim to serve as both a home and a dynamic platform for Malaysian students.","Social Club, General Student Organizations, Community, Heritage"
Management Information Systems Association,"The purpose of the Penn State student chapter of the MISA is to foster academic and professional advancement in the Management Information Systems field; promote the exchange of knowledge, experience, ideas, and cooperatio...",Leadership
Marine Science Society,"The Marine Science Society is an academic-based club open to students who are passionate about marine science, we focus on education and conservation through meetings, events, and trips. We are the main liaison for the Penn State offered minor.","Science, General Student Organizations"
Martial Arts Group at Penn State,Promotes physical fitness through skill and disciplined advancement of Korean martial arts. We are a special interest group for social activities only. Our members are part of the PSU Campus Recreation Tang Soo Do martial arts class offering. ,"Fitness, Asian Student Life, Art, Special Interest, Social Club, Martial Arts"
"Martin Luther King, (MLK) Jr. Commemoration Student Committee",The Dr. Martin Luther King Jr. Commemoration Student Committee honors the life and legacy of Dr. King by planning and executing events throughout the academic year which focus on a central theme chosen annually.,Art
Master of Fine Arts Association,"A group of SOVA grads getting MFAs who come together to collaborate on projects. We organize group shows, published catalogs and field trips! Working together to create connections and opportunities in a changing art world.",Art
Master of Health Administration Association,This group is associated with Penn State's Master of Health Administration (MHA) program. This organization is designed to serve as a support group in providing networking and learning opportunities for the students within the program.,"Social Club, Fashion"
Materials Research Society,"The mission of the Materials Research Society Chapter at the Pennsylvania State University is to promote interdisciplinary materials research, education, and professional development. The chapter aims to bring together stu...",Leadership
Materials Science and Engineering Mentorship,"This organization exists to connect graduate student mentors in the Department of Materials Science and Engineering, to new incoming graduate students of the department. The organization will match mentors and mentees and facilitate meetings between them","Science, Engineering, Art"
Math Club,"To promote the interest of mathematics at Penn State, to aid students with an interest in mathematics, and to promote interaction among math undergraduates, graduate students and faculty. ","Special Interest, General Student Organizations, Mathematics"
Math Department Graduate Student Association,Graduate Student Association for the Penn State University Department of Mathematics. ,"Art, Mathematics"
Mathematics Education Student Group at Penn State,The purpose of the Mathematics Education Student Group at The Pennsylvania State University is to foster interest in mathematics and the teaching of mathematics at all grade levels.,"Special Interest, Mathematics"
MBA Student Association,The MBA Student Association at Penn State is a graduate student organization dedicated to giving MBA students the opportunity to network and meet with others. This organization is also open to Smeal Graduate students in other programs.,"General Student Organizations, Philanthropy"
Meat Science Club at Penn State,"The Meat Science Club at Penn State provides students interested in the meat industry the opportunity to explore career opportunities, network with peers and industry professionals, and go on industry tours within the meat science arena.","Science, General Student Organizations, Special Interest"
Media & Entertainment Business Association,"The Media & Entertainment Business Association serves as the premier student organization at Penn State that focuses on the business side of the film, television, video game, and music industries!","Business, Film, Music, General Student Organizations"
MEDLIFE Chapter at Penn State,"MEDLIFE Chapter at Penn State, University Park raises money for Medicine, Education, and Community Development projects for low-income families around the world. Members can participate in a MEDLIFE Service Learning Trip that travels to communities!","Leadership, Community, Service, Art, Medicine & Health, Travel"
Meetings and Events Club,Meetings and Events Club's focus is to provide students who have an interest in the meeting and event field the opportunity to both learn and gain hands on experience for a variety of events. Student chapter of PCMA and MPI.,"General Student Organizations, Special Interest"
Men in Nursing,"The objective of this organization is to facilitate communication among the students, faculty, and administration of the University Park site, the Commonwealth Campuses, and the Milton S. Hershey Medical center sites for t...",Medicine & Health
Men's Club Basketball,Penn State Mens Club Basketball,"General Student Organizations, Basketball"
Men's Club Soccer,A year-round competitive soccer team that travels the country to compete against other club soccer teams for a national title.,"Soccer, General Student Organizations, Travel"
Men's Club Ultimate,Promotes the sport of Ultimate Frisbee through the honor and integrity of each individual member.,General Student Organizations
Men's Club Volleyball,Volleyball -- Men,General Student Organizations
Men's Ice Hockey Club,Provides aspiring players a chance to play regardless of talent; active participation is dependent on the desire to play and willingness to pay for one's own expenses.,"General Student Organizations, Art"
Men's Lacrosse Club,Provides Penn State students the opportunity to play organized lacrosse as an alternative to the existing varsity lacrosse program.,General Student Organizations
Men's Water Polo Club,"As a team, we promote the sport of water polo, and represents Pennsylvania State University in the Collegiate Water Polo Association on the club level. We work to be our best selves in and out of the pool, in our community, and as a team.","General Student Organizations, Community"
Mending Walls @ Penn State,"Mending Walls @ Penn State is a club inspired by the mural project Mending Walls, created by Hamilton Glass in Richmond, Virginia. We will be organizing a yearly community mural at Penn State and hosting social events throughout the year!","General Student Organizations, Community, Social Club"
Meteorology and Atmospheric Science Graduate Student Organization,MASGO is a student-run organization that advocates for graduate students in the Department of Meteorology and Atmospheric Science.,"Science, General Student Organizations, Art"
Mexican-American Student Association,"Promotes unity between students of different races; encourages and motivates individuals to further their education; obtains political, social, and cultural awareness.","Social Club, Heritage"
Middle Eastern and North African Caucus,"MENA Caucus is for all Undergraduate/Graduate students who identify with Arab culture or have a desire to learn more about it! We seek to create a hospitable environment where we discuss sociopolitical issues, mingle, and broaden our networks.","Middle Eastern Student Life, Sustainability"
Military Service Organization at World Campus,The Military Service Organization at Penn State World Campus is a recognized chapter of the Student Veterans of America. ,Service
Millennium Society,"The purpose of the Millennium Society is to promote diversity in STEM and provide service to the community through the Millennium Scholars Program, including but not limited to science outreach at Penn State and participation in THON.","Community, Service, Art, Diversity, Science"
Mindfulness and the Science of Happiness Club,"MASH holds weekly meetings (Thurs @ 6:15 PM in BBH 312) where students come together to explore mindfulness-based and scientifically validated topics related to well-being, stress-reduction, and human happiness to support our own pursuits of happiness.","Science, General Student Organizations"
Mine Rescue Team at Penn State,Mine Rescue Team at Penn State aims to compete in Mine rescue competitions and to educate its members on proper mine safety and rescue. ,General Student Organizations
Mini-Golf Club,The Mini-Golf Club at Pennsylvania State University was created to inspire fun and laughter through the means of mini-golf amongst undergraduate students.,General Student Organizations
Mining Society,"Promotes learning opportunities and assists with professional development in the mining industry to students in mining engineering, civil engineering, environmental engineering, industrial engineering, and other related majors. ","Leadership, Engineering, Sustainability"
Minorities in Agriculture and Natural Resources,"Provides a framework for the academic, professional, and social development of minority students within the fields of Agriculture, Natural Sciences, and related areas.","Science, Leadership, Social Club"
Minorities in EMS,"Minorities in EMS (MEMS) will empower the diverse community within the College of Earth Mineral Sciences, foster a sense of community, and promote professional development within the members prospective fields of study.  ","Science, Leadership, Community, Art"
Minorities In Sports Next: Penn State Chapter,Official Penn State affiliate of the Minorities in Sports professional network,General Student Organizations
Minorities in the College of Liberal Arts,"MCLA is a safe and supportive group of students from historically marginalized communities, working to build community in the College of Liberal Arts and connecting students with resources.
","Community, Art, Political Organizations"
Minority Association of Pre-Medical/Health Students,"As a chapter affiliated to the Student National Medical Association, the purpose of the Penn State Minority Association of Pre-Medical/Health Students (M.A.P.S.) is to increase the number of minority students entering/completing health professions.",General Student Organizations
Mock Trial Association,"The Mock Trial Association is dedicated to educating its members on the fundamentals of trial advocacy, providing abundant opportunities for student leadership, and competing at the regional and national levels of the American Mock Trial Association.","Leadership, Advocacy"
Model Aircraft Club at Penn State,The Model Aircraft Club at Penn State is a local student chapter of the Academy of Model Aeronautics.  We allow students to enjoy the hobby of RC flying at Penn State by providing safe and legal avenues to learn how to fly and operate unmanned aircraft.,"General Student Organizations, Law & Pre-Law, DIY"
Model Railroad,"The Model Railroad Club strives to educate members and the public on the value of railroads through building and operating model railroads with all involved fields, including woodworking, electrical work, art design, history, and more. 

","Fashion, General Student Organizations, Engineering, Art"
"Molecular, Cellular, and Integrative Biosciences Graduate Student Association","The purpose of the Molecular, Cellular, Integrative Biosciences Graduate Student Association (MCIBS GSA) is to unite the students of the MCIBS graduate program via building an inclusive professional, social and intellectual community. ","Science, Community, Social Club"
Monty Python Society at Penn State,"The Purpose of the Penn State Monty Python Society is to promote the appreciation of British humor, as exemplified by the comedy group “Monty Python’s Flying Circus” and to provide satiric and comedic entertainment to the campus.",General Student Organizations
More Than Medicine,This club's mission is to educate our community regarding various medical concepts and concerns to ultimately promote and contribute to a healthier and stronger society. ,"Medicine & Health, General Student Organizations, Community"
Movin' On,"To organize and manage an annual spring music festival, to promote the talent of student bands, to collaborate with other student organizations and keep the interests of the student body in mind, and to do so in a substance free environment.","Special Interest, Music, General Student Organizations, Sustainability"
"Mu Sigma Upsilon Sorority, Inc.","In 1981, our founding mothers saw the need for a sorority that crossed the societal boundaries of race, religion, culture, and class. While other Greek organizations are and continue to grow more diverse, our organization foundation is based on diversi...",General Student Organizations
Multicultural Education Student Association,"To develop a supportive coalition of underrepresented students of color within the College of Education, aimed at promoting feelings of inclusion within the college community.","Diversity, Community, Heritage"
Multicultural Engineering Graduate Association,The Multicultural Engineering Graduate Association is a graduate student organization that commits itself to support multicultural graduate students in the STEM fields.,"General Student Organizations, Heritage, Engineering"
Multicultural Greek Council,The Multicultural Greek Council at Penn State University was established in the Fall of 2001. The MGC represents the numerous culturally and religiously diverse social fraternities and sororities at The Pennsylvania State University.,"Social Club, Religious, Heritage"
Multicultural Innovators in Computer Sciences,"MICS aims to foster an inclusive environment for underrepresented groups in computer science, encouraging innovation, collaboration, and leadership development.","Science, Leadership, Heritage, Sustainability"
Multicultural Student Nursing Association,Multicultural students in the college of nursing growing academically and forming a community to help each other succeed.,"Medicine & Health, Water Sports, Community, Heritage"
Multicultural Undergraduate Law Association,"MULA's mission is to increase diversity in the field of law by promoting multiculturalism; to that end, we strive not only to help our members get into the law school of their choice but also to help our members succeed in the law school of their choice.","Diversity, Heritage, Law & Pre-Law"
Multicultural Women's Forum,"To create a support network, enhance professional development, and leadership skills for multicultural women in, but not limited to, the Smeal College of Business.","Business, Leadership, Heritage, Women’s Empowerment"
Music Creators Club,"An organization comprised of musicians of all expertise and walks of path, with the primary goal of helping each other learn and succeed in creating music and promoting each other through a safe community","General Student Organizations, Music, Community, Service"
Music Discussion Club,A club for both Music related majors and anyone else to discuss popular music and participate in music related activities,"Music, General Student Organizations, Art"
Music Group at Penn State," The Music Group at Penn State is Penn State's student-run mock record label, aspiring to create the music industry's next generations of leaders - whether those be artists, producers, businesspeople, or others. Come work with us!","Business, Music, Art"
Music Service Club,"Music Service Club's mission is to share the power of music with the State College community, especially the young, elderly, and disabled. We provide a welcoming space for students to continue music in college while giving back to the community. ","Community, Service, Philanthropy, Music, General Student Organizations"
Music Teachers National Association Collegiate Chapter at Penn State,The purpose of this organization is to advance the value and study of music making to society and to support the professionalism of musicians. It is open to all Penn State University Students involved in regular music study.,Music
Muslim Graduate Student Organization,"A group hoping to build a supportive community where Muslim graduate & professional students from different schools & cultures feel comfortable to express themselves openly, create mutual aid networks & develop intercultural understanding.","Muslim Organizations, Journalism, Community, Heritage, General Student Organizations"
Muslim Students' Association,"Promotes unity and join action among the Muslims, conducts various activities in the best traditions of Islam, promotes friendly relations between Muslims and non-Muslims, and makes Islamic teachings known to non-Muslims.","Muslim Organizations, Heritage"
NABA: The Organization for Black Business Students,The mission of NABA: The Organization for Black Business Students involve supporting black students within the spectrum of business-related majors and economically empowering the black community at Penn State.,"Business, Black Student Life, Community"
National Association for Music Educators Collegiate,"Makes opportunities available to members for professional development, provides opportunities for students to interact with NAfME Collegiate students from other universities, and acquaints students with the privileges and ...","Leadership, Music"
National Association for the Advancement of Colored People,"The mission of the NAACP is to inform, eliminate race-based discrimination, fight for equality, and ensure the health and well-being of all persons.",Human Rights
National Association of Home Builders,"NAHB Student Chapters is designed to help students gain a better understanding of the residential construction field through the use of guest lectures, meetings, and student competitions. All majors are welcome!",Fashion
National Association of Minority Landscape Architects," Our goal is to uplift minority groups involved with the landscape. Additionally, it is to inform our members to design with ethics, culture, economics, and systemic justice to improve our impact on humankind. ","Fashion, Human Rights"
National Black Association for Speech Language and Hearing,"NBASLH addresses the communication interests and concerns of black communication science and disorders professionals, students, and consumers. The association is the model for other organizations addressing the concerns of diverse populations. ","Science, Black Student Life, Special Interest"
"National Council of Negro Women, Incorporated","To lead, develop, and advocate for women of African descent by way of community-based services and programs on issues of health, education, and economic empowerment.","Business, Community, Service, Women’s Empowerment"
National Electrical Contractors Association,"To promote renewable energy system design, service learning, and electrical career opportunities through an industry-university partnership.","Fashion, Service, Engineering, Art"
National Organization for Business and Engineering,"NOBE aims to connect people in academic and corporate settings who are interested in both business and engineering. It serves as a networking hub focused on developing professional, leadership, and technical skills, as well as fostering entrepreneurship.","Entrepreneurship, Leadership, Special Interest, Social Club, Engineering, Business"
National Organization for the Professional Advancement of Black Chemists and Chemical Engineers,"National Organization for the Professional Advancement of Black Chemists and Chemical Engineers Student Chapter at The Pennsylvania State University aims to foster a space where students of color in science, technology, and engineering are supported.","Science, Black Student Life, Technology, Engineering"
National Organization of Minority Architecture Students,"To foster communication, cooperation, solidarity and fellowship among minority students of architecture.",General Student Organizations
National Pan-Hellenic Council,The umbrella organization for the nine historically African-American fraternities and sororities at Penn State.,General Student Organizations
National Residence Hall Honorary,"The National Residence Hall Honorary recognizes and honors the work of the top 1% of on-campus student leaders. The Nittany Chapter includes members of Greek life, Student Affairs, Residence Life, Student Activities, and other areas. ",General Student Organizations
National Security Club," The National Security Club is dedicated to providing information regarding Federal, State, and Local law enforcement agencies. This will be provided through professional speakers from those backgrounds and oth...","General Student Organizations, Law & Pre-Law"
National Society of Black Engineers,"The mission of NSBE is to increase the number of culturally responsible Black engineers who excel academically, succeed professionally, and positively impact the community.","Black Student Life, Community, Heritage"
National Society of Minorities in Hospitality,"Spreads awareness about minorities in the hospitality fields, provides academic and personal support services, and improves the overall education and the academic experience for all minority students.",Service
National Student Speech Language Hearing Association,Encourages professional interest among students in the study of normal and disordered human communication behavior and provides its members with access to professional literature and professional benefits.,"Writing, Special Interest, Books"
Natya,"Natya brings together those of the Penn State community interested in the Classical Dance styles of India, including Bharatanatyam and Kuchipudi. The purpose of Natya is to provide for members an environment to foster their passion for these dance forms.","Dance, Community, Fashion, Sustainability, Special Interest"
Navigators at Penn State,"PSU Navs is a large, close knit community that is committed to knowing Christ, making him known on our campus, and seeing the gospel of Jesus transform lives! We would love to meet you and have you be a part of our community!","Community, Art"
Nepalese Society at Penn State,We seek to bring the wonderful members of our community together and share our culture with everyone at Penn State.,Community
